time,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2022-06-19 01:00:00+09:00,5.871524449,23.03,91.12847555,1009,2.394132311,152.1735379,0,0,20.19333333,19.19333333,0,6.704279861,-31.52964002
2022-06-19 02:00:00+09:00,5,20.04682927,92,1009,2.49,133,0,0,20.01016949,16.1,0,22.19636989,-28.44042776
2022-06-19 03:00:00+09:00,31.66851441,20.27557095,92,1008.012749,2.340764967,139.9745011,0,0,20.30491803,16.25737705,0,35.91939372,-22.43743663
2022-06-19 04:00:00+09:00,100,20.38038846,93,1008,2.77,142,0,0,20.40307692,19.00461538,0,47.55771371,-14.22144959
2022-06-19 05:00:00+09:00,100,22.03,93,1008,2.557647059,133.8823529,0,0,20.49538462,10.14307692,0,57.37818313,-4.444699453
2022-06-19 06:00:00+09:00,100,22.03,93,1008,2.32,122,0,0,20.6,10.05555556,0.037037037,65.86141713,6.39544443
2022-06-19 07:00:00+09:00,100,20.85442044,92.01211802,1008.987882,2.527455216,152.6243414,0,0,20.6,19.3,1,73.51961148,17.94612459
2022-06-19 08:00:00+09:00,100,21.12354964,92,1009,3.3,177,0,0,20.7,16.1,1,80.88710369,29.95361131
2022-06-19 09:00:00+09:00,100,21.46666852,91,1009,3.63,188,0,0,20.705,16.18,1.016666667,88.64913041,42.2133993
2022-06-19 10:00:00+09:00,53,21.90269444,89,1009,2.78,204,0,0,21,20.81864407,2.016949153,98.04357147,54.50331937
2022-06-19 11:00:00+09:00,43,22.12960556,87,1008,2.77,220,0,0,21.00333333,16.1,3.066666667,112.3419538,66.40143125
2022-06-19 12:00:00+09:00,36,22.70480556,85,1008,2.87,231,0,0,21.09016393,16.25737705,5.163934426,143.6122811,76.31232299
2022-06-19 13:00:00+09:00,33,22.84398889,84,1007,3.28,248,0,0,20.80338983,20.81864407,9.915254237,207.1041862,77.43999607
2022-06-19 14:00:00+09:00,39,22.68696835,86,1007,3.33,271,0,0,20.97333333,16.1,5.1,244.0821105,68.3531902
